State,Date,Index
Alabama,4-Apr,73
Alaska,28-Mar,66
Arizona,31-Mar,69
Arkansas,,-1
California,19-Mar,57
Colorado,26-Mar,64
Connecticut,23-Mar,61
Delaware,24-Mar,62
District of Columbia,1-Apr,70
Florida,3-Apr,72
Georgia,3-Apr,72
Hawaii,25-Mar,63
Idaho,25-Mar,63
Illinois,21-Mar,59
Indiana,24-Mar,62
Iowa,,-1
Kansas,30-Mar,68
Kentucky,26-Mar,64
Louisiana,23-Mar,61
Maine,2-Apr,71
Maryland,30-Mar,68
Massachusetts,24-Mar,62
Michigan,24-Mar,62
Minnesota,27-Mar,65
Mississippi,3-Apr,72
Missouri,6-Apr,75
Montana,28-Mar,66
Nebraska,,-1
Nevada,1-Apr,70
New Hampshire,27-Mar,65
New Jersey,24-Mar,62
New Mexico,24-Mar,62
New York,22-Mar,60
North Carolina,30-Mar,68
North Dakota,,-1
Ohio,23-Mar,61
Oklahoma,28-Mar,66
Oregon,23-Mar,61
Pennsylvania,1-Apr,70
Rhode Island,28-Mar,66
South Carolina,6-Apr,75
South Dakota,,-1
Tennessee,31-Mar,69
Texas,2-Apr,71
Utah,30-Mar,68
Vermont,25-Mar,63
Viginia,30-Mar,68
Washington,23-Mar,61
West Virginia,24-Mar,62
Wisconsin,25-Mar,63
Wyoming,28-Mar,66
